"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2019","256.25","257.50","258.75","252.00","0.02K","-2.57%"
"Aug 26, 2019","263.00","268.00","269.75","259.25","0.04K","-0.66%"
"Aug 23, 2019","264.75","265.00","265.00","261.25","0.02K","-0.19%"
"Aug 22, 2019","265.25","268.25","270.25","261.00","0.07K","-2.30%"
"Aug 21, 2019","271.50","271.25","274.50","270.25","0.02K","-0.46%"
"Aug 20, 2019","272.75","270.75","274.00","270.00","0.09K","0.93%"
"Aug 19, 2019","270.25","281.50","282.00","270.00","0.16K","-3.57%"
"Aug 16, 2019","280.25","275.00","281.00","275.00","0.04K","2.00%"
"Aug 15, 2019","274.75","276.00","278.25","272.50","0.07K","-0.72%"
"Aug 14, 2019","276.75","270.75","280.75","270.00","0.08K","1.84%"
"Aug 13, 2019","271.75","271.25","272.00","268.00","0.05K","0.00%"
"Aug 12, 2019","271.75","274.00","275.75","269.75","0.11K","-1.09%"
"Aug 09, 2019","274.75","275.75","275.75","273.25","0.03K","0.00%"
"Aug 08, 2019","274.75","270.00","275.00","270.00","0.06K","2.14%"
"Aug 07, 2019","269.00","268.75","269.25","265.00","0.04K","1.22%"
"Aug 06, 2019","265.75","264.50","267.00","264.50","0.06K","0.00%"
"Aug 05, 2019","265.75","270.00","270.00","261.25","0.07K","0.09%"
"Aug 02, 2019","265.50","260.00","271.50","258.75","0.13K","2.71%"
"Aug 01, 2019","258.50","257.00","261.00","257.00","0.22K","0.98%"
"Jul 31, 2019","256.00","256.50","257.00","255.00","0.27K","-0.58%"
"Jul 30, 2019","257.50","259.00","260.25","256.00","0.16K","-0.48%"
"Jul 29, 2019","258.75","256.75","262.75","256.50","0.13K","0.49%"
"Jul 26, 2019","257.50","264.00","265.00","257.25","0.18K","-2.28%"
"Jul 25, 2019","263.50","266.50","267.75","262.50","0.09K","-0.47%"
"Jul 24, 2019","264.75","267.00","270.00","264.50","0.10K","-0.47%"
"Jul 23, 2019","266.00","267.25","269.25","264.75","0.07K","-0.28%"
"Jul 22, 2019","266.75","275.50","276.25","266.00","0.06K","-1.84%"
"Jul 19, 2019","271.75","269.00","276.00","269.00","0.11K","-1.09%"
"Jul 18, 2019","274.75","278.25","278.25","269.25","0.08K","-1.26%"
"Jul 17, 2019","278.25","275.25","282.25","274.50","0.12K","0.91%"
"Jul 16, 2019","275.75","280.25","281.00","275.00","0.07K","-1.96%"
"Jul 15, 2019","281.25","282.00","282.75","278.00","0.06K","-0.27%"
"Jul 12, 2019","282.00","279.50","283.00","276.90","-","1.37%"
"Jul 11, 2019","278.20","274.50","279.40","272.30","-","1.31%"
"Jul 10, 2019","274.60","276.30","276.30","273.40","-","-0.33%"
"Jul 09, 2019","275.50","278.10","283.90","273.90","-","-0.90%"
"Jul 08, 2019","278.00","278.80","280.20","276.10","-","-0.32%"
"Jul 05, 2019","278.90","283.60","283.70","275.20","-","-1.97%"
"Jul 03, 2019","284.50","289.25","289.25","289.25","0.00K","-0.56%"
"Jul 02, 2019","286.10","284.60","287.40","284.00","-","-0.07%"
"Jul 01, 2019","286.30","277.10","286.50","277.10","-","4.87%"
"Jun 28, 2019","273.00","274.00","274.25","274.00","0.00K","-1.80%"
"Jun 27, 2019","278.00","278.25","288.50","271.50","0.15K","0.27%"
"Jun 26, 2019","277.25","274.00","282.00","270.25","0.22K","2.12%"
"Jun 25, 2019","271.50","276.25","278.75","270.00","0.20K","0.37%"
