,Date,Price,Open,High,Low,Vol.,Change %,direction
981,2017-02-28,67.6,68.3,68.38,67.17,19870.0,-0.0076,-1
982,2017-02-27,68.12,68.25,69.0,67.88,16309.999999999998,0.0013,1
983,2017-02-24,68.03,66.7,68.22,66.33,19910.0,0.0218,1
984,2017-02-23,66.58,67.5,67.5,66.03,24810.0,-0.0173,-1
985,2017-02-22,67.75,70.0,70.0,67.53,28110.0,-0.037000000000000005,-1
986,2017-02-21,70.35,71.25,71.58,70.25,16510.0,-0.0060999999999999995,-1
987,2017-02-17,70.78,69.83,71.12,69.83,15540.0,0.013600000000000001,1
988,2017-02-16,69.83,71.08,71.78,69.75,19270.0,-0.0134,-1
989,2017-02-15,70.78,71.78,72.33,70.65,16740.0,-0.0073,-1
990,2017-02-14,71.3,70.0,71.62,70.0,15670.0,-0.0462,-1
991,2017-02-13,74.75,74.67,75.1,74.62,2760.0,0.0027,1
992,2017-02-10,74.55,74.78,74.97,74.0,4960.0,0.0044,1
993,2017-02-09,74.22,73.9,74.35,73.55,2870.0,0.011899999999999999,1
994,2017-02-08,73.35,72.6,73.45,72.45,4650.0,0.0134,1
995,2017-02-07,72.38,71.7,72.8,71.7,8240.0,0.0144,1
996,2017-02-06,71.35,70.28,71.42,70.28,7340.0,0.014499999999999999,1
997,2017-02-03,70.33,70.6,70.65,69.92,5170.0,-0.0003,-1
998,2017-02-02,70.35,69.85,70.5,69.65,8750.0,0.0134,1
999,2017-02-01,69.42,69.5,70.0,68.92,9320.0,0.0049,1
1000,2017-01-31,69.08,67.2,69.3,67.15,9980.0,0.029500000000000002,1
1001,2017-01-30,67.1,67.25,67.7,66.92,7690.0,0.003,1
1002,2017-01-27,66.9,66.42,67.08,66.05,7730.0,0.0159,1
1003,2017-01-26,65.85,67.7,68.0,65.25,11140.0,-0.024900000000000002,-1
1004,2017-01-25,67.53,66.0,67.83,65.85,9520.0,0.0354,1
1005,2017-01-24,65.22,65.05,65.72,64.97,7350.0,0.0034000000000000002,1
1006,2017-01-23,65.0,65.35,65.45,64.33,9080.0,-0.0046,-1
1007,2017-01-20,65.3,65.7,65.88,65.03,9990.0,-0.0018,-1
1008,2017-01-19,65.42,65.47,65.78,64.9,12460.0,0.0034000000000000002,1
1009,2017-01-18,65.2,65.9,66.67,64.53,16870.0,-0.0091,-1
1010,2017-01-17,65.8,65.95,65.97,65.05,10680.0,0.003,1
1011,2017-01-13,65.6,66.1,66.2,64.72,22090.0,-0.0053,-1
1012,2017-01-12,65.95,65.9,66.22,64.9,25280.0,0.0053,1
1013,2017-01-11,65.6,65.25,66.08,64.83,26720.0,0.0085,1
1014,2017-01-10,65.05,64.2,65.9,63.85,27020.0,0.0204,1
1015,2017-01-09,63.75,64.12,64.12,62.55,24480.0,-0.0036,-1
1016,2017-01-06,63.98,65.15,65.15,63.58,15870.0,-0.0139,-1
1017,2017-01-05,64.88,64.92,65.6,64.22,16300.0,0.0043,1
1018,2017-01-04,64.6,63.88,64.78,63.3,17800.0,0.0173,1
1019,2017-01-03,63.5,66.4,66.9,63.23,22570.0,-0.0401,-1
1020,2016-12-30,66.15,64.6,66.35,64.28,16450.0,0.0232,1
1021,2016-12-29,64.65,65.58,65.95,64.15,11500.0,-0.0069,-1
1022,2016-12-28,65.1,65.05,66.12,64.45,14590.0,0.0054,1
1023,2016-12-27,64.75,62.5,64.88,62.15,14870.0,0.0245,1
1024,2016-12-23,63.2,65.08,65.1,62.27,15730.0,-0.0235,-1
1025,2016-12-22,64.72,65.3,65.75,64.42,10210.0,-0.0028000000000000004,-1
1026,2016-12-21,64.9,63.83,65.47,62.9,15870.0,0.0141,1
1027,2016-12-20,64.0,65.85,66.42,63.65,19460.0,-0.0318,-1
1028,2016-12-19,66.1,64.72,66.58,63.92,25040.0,0.0216,1
1029,2016-12-16,64.7,62.75,64.95,62.58,23280.0,0.0369,1
1030,2016-12-15,62.4,61.7,62.95,60.88,17090.0,0.0102,1
1031,2016-12-14,61.77,61.7,62.15,61.27,11670.0,0.0805,1
1032,2016-12-13,57.17,57.48,57.5,57.02,1650.0,-0.0037,-1
1033,2016-12-12,57.38,57.0,57.4,56.8,2770.0,0.0115,1
1034,2016-12-09,56.73,56.65,57.1,56.12,5090.0,0.019,1
1035,2016-12-08,55.67,55.3,56.88,55.12,9110.0,0.0177,1
1036,2016-12-07,54.7,54.05,55.33,54.0,11100.0,0.024700000000000003,1
1037,2016-12-06,53.38,52.25,54.08,52.0,8730.0,0.0365,1
1038,2016-12-05,51.5,51.2,51.9,51.15,7310.0,0.0148,1
1039,2016-12-02,50.75,50.9,51.27,50.52,6990.0,0.0104,1
1040,2016-12-01,50.23,51.25,51.52,49.95,11590.0,-0.0155,-1
1041,2016-11-30,51.02,50.85,51.7,50.75,9180.0,0.013300000000000001,1
1042,2016-11-29,50.35,50.58,50.95,50.27,9870.0,-0.0014000000000000002,-1
1043,2016-11-28,50.42,51.1,51.48,50.3,8690.0,-0.0123,-1
1044,2016-11-25,51.05,50.5,51.38,50.5,5660.0,0.026099999999999998,1
1045,2016-11-23,49.75,49.6,50.38,49.38,10680.0,0.0091,1
1046,2016-11-22,49.3,49.83,50.33,49.15,10650.0,-0.009399999999999999,-1
1047,2016-11-21,49.77,47.9,50.02,47.77,16200.0,0.0412,1
1048,2016-11-18,47.8,47.52,48.1,47.02,10510.0,0.0074,1
1049,2016-11-17,47.45,48.17,48.25,46.8,13060.0,-0.011899999999999999,-1
1050,2016-11-16,48.02,46.27,48.27,46.25,23390.0,0.0412,1
1051,2016-11-15,46.12,46.9,47.33,45.73,15530.0,-0.0166,-1
1052,2016-11-14,46.9,47.08,47.08,45.42,23250.0,-0.004699999999999999,-1
1053,2016-11-11,47.12,47.4,48.75,46.88,27990.0,-0.0055000000000000005,-1
1054,2016-11-10,47.38,46.52,47.8,45.55,30550.0,0.0178,1
1055,2016-11-09,46.55,46.85,47.42,45.98,24440.0,-0.0092,-1
1056,2016-11-08,46.98,47.2,47.67,46.62,27730.0,-0.0025,-1
1057,2016-11-07,47.1,46.38,47.25,45.98,26990.0,0.0206,1
1058,2016-11-04,46.15,46.9,46.95,45.1,18930.0,-0.0181,-1
1059,2016-11-03,47.0,47.45,47.55,46.35,16620.0,-0.0174,-1
1060,2016-11-02,47.83,46.92,47.95,46.55,17630.0,0.0297,1
1061,2016-11-01,46.45,47.7,48.12,46.1,21980.0,-0.0313,-1
1062,2016-10-31,47.95,46.83,48.15,46.58,22930.0,0.0246,1
1063,2016-10-28,46.8,45.5,47.08,45.45,17890.0,0.0313,1
1064,2016-10-27,45.38,44.2,45.98,43.85,20320.0,0.026699999999999998,1
1065,2016-10-26,44.2,44.7,44.88,43.75,13400.0,-0.009399999999999999,-1
1066,2016-10-25,44.62,43.75,44.7,43.6,17890.0,0.0329,1
1067,2016-10-24,43.2,43.0,43.75,42.77,15840.0,0.0323,1
1068,2016-10-21,41.85,41.62,42.65,41.45,16870.0,0.0182,1
1069,2016-10-20,41.1,41.3,41.85,41.05,12750.0,-0.0017000000000000001,-1
1070,2016-10-19,41.17,41.25,42.0,40.7,15370.0,0.0012,1
1071,2016-10-18,41.12,41.7,42.25,41.02,13610.0,-0.0115,-1
1072,2016-10-17,41.6,42.48,42.73,41.25,15840.0,-0.0149,-1
1073,2016-10-14,42.23,44.3,44.3,41.98,19840.0,-0.1975,-1
1074,2016-10-13,52.62,52.52,52.77,52.45,1870.0,0.0046,1
1075,2016-10-12,52.38,51.8,52.45,51.77,3500.0,0.0181,1
1076,2016-10-11,51.45,51.1,51.77,51.1,3740.0,0.0154,1
1077,2016-10-10,50.67,51.15,51.25,50.33,2340.0,0.0,0
1078,2016-10-07,50.67,50.98,51.73,50.5,6890.0,0.0058,1
1079,2016-10-06,50.38,48.8,50.52,48.65,4860.0,0.0446,1
