Date,Price,Open,High,Low,Vol.,Change %,direction
2016-11-09,407.75,416.0,417.75,404.0,,-0.0163,-1
2016-11-08,414.5,410.5,419.75,408.38,,0.0147,1
2016-11-07,408.5,414.12,415.75,406.75,,-0.0139,-1
2016-11-04,414.25,411.75,415.25,410.5,,0.0067,1
2016-11-03,411.5,417.75,420.0,409.5,,-0.0167,-1
2016-11-02,418.5,414.38,420.25,412.25,,0.0109,1
2016-11-01,414.0,416.0,418.25,411.0,,-0.003,-1
2016-10-31,415.25,410.75,416.75,409.25,,0.0178,1
2016-10-28,408.0,415.75,417.5,407.62,,-0.0169,-1
2016-10-27,415.0,412.0,418.75,411.75,,0.0079,1
2016-10-26,411.75,403.5,414.12,403.0,,0.0173,1
2016-10-25,404.75,403.75,406.5,398.88,,0.0031,1
2016-10-24,403.5,413.5,416.88,400.75,,-0.0265,-1
2016-10-21,414.5,416.75,418.25,413.5,,-0.006,-1
2016-10-20,417.0,420.12,422.75,415.5,,-0.0070999999999999995,-1
2016-10-19,420.0,420.12,422.5,414.0,,0.0012,1
2016-10-18,419.5,425.0,425.5,418.5,,-0.011200000000000002,-1
2016-10-17,424.25,418.75,425.5,416.25,,0.0083,1
2016-10-14,420.75,415.5,428.25,415.25,,0.0102,1
2016-10-13,416.5,397.75,417.0,397.5,,0.0478,1
2016-10-12,397.5,404.88,414.0,396.25,,-0.0239,-1
2016-10-11,407.25,404.0,408.75,401.5,,0.0074,1
2016-10-10,404.25,397.25,405.38,397.25,,0.023399999999999997,1
2016-10-07,395.0,397.25,401.0,394.5,,-0.0006,-1
2016-10-06,395.25,407.75,409.5,393.5,,-0.0253,-1
2016-10-05,405.5,395.5,408.25,392.0,,0.0246,1
2016-10-04,395.75,395.75,398.25,393.0,,-0.0025,-1
2016-10-03,396.75,400.5,401.75,391.75,,-0.0124,-1
2016-09-30,401.75,398.75,403.88,390.25,,0.0069,1
2016-09-29,399.0,402.5,406.75,398.0,,-0.0109,-1
2016-09-28,403.38,404.75,407.25,402.0,,-0.0022,-1
2016-09-27,404.25,398.0,405.0,394.25,,0.0208,1
2016-09-26,396.0,403.75,407.0,395.5,,-0.022799999999999997,-1
2016-09-23,405.25,404.25,409.5,401.38,,-0.0012,-1
2016-09-22,405.75,406.0,411.75,404.5,,-0.0060999999999999995,-1
2016-09-21,408.25,405.0,409.0,402.5,,0.0062,1
2016-09-20,405.75,403.25,410.0,401.5,,0.0043,1
2016-09-19,404.0,404.75,409.0,400.0,,0.0003,1
2016-09-16,403.88,398.75,404.5,394.25,,0.011000000000000001,1
2016-09-15,399.5,402.0,406.75,398.25,,-0.0068000000000000005,-1
2016-09-14,402.25,400.75,404.25,395.25,,0.005600000000000001,1
2016-09-13,400.0,408.0,410.88,399.25,,-0.021400000000000002,-1
2016-09-12,408.75,402.5,410.0,400.0,,0.0143,1
2016-09-09,403.0,405.5,406.0,397.12,,-0.0074,-1
2016-09-08,406.0,403.0,406.75,398.5,,0.0087,1
2016-09-07,402.5,398.12,405.0,397.5,,0.0113,1
2016-09-06,398.0,398.25,402.75,395.0,,-0.0025,-1
2016-09-02,399.0,394.5,401.5,394.5,,0.0111,1
2016-09-01,394.62,391.5,397.25,389.75,,0.0184,1
2016-08-31,387.5,392.88,395.75,387.0,,-0.0127,-1
2016-08-30,392.5,397.0,400.75,391.75,,-0.012,-1
2016-08-29,397.25,407.25,407.75,395.5,,0.0342,1
2016-08-26,384.12,401.0,402.38,381.25,,-0.043,-1
2016-08-25,401.38,404.75,408.0,401.38,,-0.0077,-1
2016-08-24,404.5,407.88,409.25,403.0,,-0.0074,-1
2016-08-23,407.5,414.75,415.0,407.0,,-0.0187,-1
2016-08-22,415.25,427.25,429.12,414.75,,-0.0287,-1
2016-08-19,427.5,426.62,432.5,422.5,,0.0006,1
2016-08-18,427.25,424.5,428.0,420.0,,0.0023,1
